iter	Passed	Remaining
220	8009	10111
221	8036	10064
222	8076	10032
223	8138	10028
224	8171	9986
225	8204	9946
226	8245	9916
227	8276	9873
228	8303	9826
229	8328	9777
230	8356	9731
231	8385	9686
232	8406	9633
233	8433	9586
234	8456	9536
235	8484	9491
236	8517	9451
237	8550	9412
238	8577	9366
239	8603	9320
240	8632	9277
241	8668	9241
242	8709	9211
243	8748	9178
244	8787	9146
245	8815	9101
246	8854	9069
247	8910	9053
248	8954	9026
249	8979	8979
250	9004	8933
251	9027	8883
252	9059	8844
253	9120	8833
254	9145	8786
255	9171	8741
256	9199	8698
257	9234	8661
258	9289	8644
259	9320	8603
260	9347	8559
261	9384	8524
262	9421	8490
263	9449	8447
264	9478	8405
265	9509	8365
266	9542	8327
267	9570	8285
268	9599	8243
269	9630	8203
270	9661	8164
271	9701	8132
272	9731	8091
273	9758	8048
274	9801	8019
275	9842	7988
276	9882	7955
277	9906	7910
278	9948	7880
279	9985	7845
280	10042	7827
281	10099	7807
282	10137	7773
283	10164	7730
284	10189	7687
285	10213	7642
286	10243	7602
287	10278	7566
288	10332	7543
289	10360	7502
290	10388	7461
291	10438	7435
292	10461	7390
293	10491	7350
294	10520	7310
295	10562	7279
296	10590	7238
297	10620	7199
298	10648	7158
299	10673	7115
300	10702	7075
301	10724	7031
302	10746	6987
303	10775	6947
304	10827	6922
305	10871	6892
306	10896	6850
307	10935	6816
308	10971	6781
309	11005	6745
310	11043	6711
311	11074	6673
312	11118	6642
313	11148	6603
314	11186	6569
315	11223	6535
316	11262	6501
317	11288	6460
318	11322	6424
319	11363	6391
320	11394	6353
321	11417	6311
322	11442	6270
323	11477	6234
324	11510	6198
325	11545	6162
326	11594	6134
327	11632	6099
328	11658	6059
329	11687	6020
330	11722	5985
331	11754	5947
332	11797	5916
333	11820	5874
334	11866	5844
335	11895	5805
336	11917	5764
337	11945	5725
338	11970	5685
339	11998	5646
340	12042	5615
341	12083	5582
342	12124	5549
343	12155	5512
344	12182	5473
345	12210	5434
346	12237	5395
347	12273	5360
348	12311	5326
349	12393	5311
350	12427	5275
351	12457	5237
352	12485	5199
353	12514	5161
354	12539	5121
355	12569	5084
356	12594	5044
357	12633	5011
358	12665	4974
359	12702	4940
360	12732	4902
361	12772	4869
362	12799	4830
363	12824	4791
364	12848	4752
365	12880	4715
366	12914	4680
367	12949	4644
368	12983	4609
369	13021	4574
370	13046	4536
371	13068	4496
372	13096	4459
373	13120	4420
374	13148	4382
375	13184	4348
376	13216	4311
377	13248	4275
378	13281	4240
379	13310	4203
380	13335	4165
381	13362	4127
382	13403	4094
383	13455	4064
384	13487	4028
385	13531	3996
386	13577	3964
387	13619	3931
388	13643	3893
389	13665	3854
390	13693	3817
391	13731	3783
392	13767	3748
393	13796	3711
394	13825	3675
395	13860	3640
396	13892	3604
397	13931	3570
398	13978	3538
399	14005	3501
400	14032	3464
401	14060	3427
402	14088	3390
403	14119	3355
404	14154	3320
405	14188	3284
406	14215	3248
407	14239	3210
408	14264	3173
409	14301	3139
410	14332	3103
411	14365	3068
412	14397	3032
413	14445	3000
414	14483	2966
415	14509	2929
416	14533	2892
417	14567	2857
418	14612	2824
419	14649	2790
420	14697	2757
421	14746	2725
422	14777	2690
423	14806	2654
424	14836	2618
425	14868	2582
426	14901	2547
427	14935	2512
428	15003	2483
429	15044	2449
430	15073	2413
431	15100	2377
432	15130	2341
433	15159	2305
434	15188	2269
435	15221	2234
436	15248	2198
437	15277	2162
438	15312	2127
439	15346	2092
440	15375	2057
441	15399	2020
442	15426	1984
443	15485	1953
444	15537	1920
445	15582	1886
446	15612	1851
447	15638	1815
448	15661	1778
449	15708	1745
450	15741	1710
451	15778	1675
452	15824	1641
453	15873	1608
454	15906	1573
455	15939	1538
456	15965	1502
457	16011	1468
458	16041	1432
459	16073	1397
460	16121	1363
461	16161	1329
462	16189	1293
463	16212	1257
464	16240	1222
465	16268	1186
466	16292	1151
467	16320	1115
468	16343	1080
469	16370	1044
470	16418	1010
471	16447	975
472	16470	940
473	16521	906
474	16548	870
475	16578	835
476	16605	800
477	16630	765
478	16688	731
479	16731	697
480	16763	662
481	16789	626
482	16818	591
483	16858	557
484	16901	522
485	16934	487
486	16970	453
487	17006	418
488	17059	383
489	17088	348
490	17118	313
491	17147	278
492	17170	243
493	17195	208
494	17237	174
495	17275	139
496	17309	104
497	17336	69
498	17364	34
499	17390	0
